36  1   6   1   0   0   0   0   0   1   0   5
0   43  5   11  1   0   0   1   0   1   0   0
0   4   49  5   7   0   0   2   0   0   0   0
1   0   1   46  5   1   1   5   0   8   1   0
0   0   0   4   25  6   3   2   0   0   0   0
0   0   0   0   0   13  3   2   4   0   0   0
0   5   0   0   0   2   29  3   1   2   2   0
0   1   3   2   2   0   6   45  1   1   4   0
0   0   0   0   0   0   1   0   22  2   3   0
1   1   0   0   0   0   0   5   0   49  6   8
0   3   1   0   0   0   1   0   0   2   17  8
12  4   2   0   0   0   0   0   0   4   0   24
